fight_id,round,name,kd,sig_l,sig_a,sig_p,total_l,total_a,td_l,td_a,td_p,sub,rev,ctrl,head_l,head_a,body_l,body_a,leg_l,leg_a,distance_l,distance_a,clinch_l,clinch_a,ground_l,ground_a
0,1,Josh Emmett,0,10,28,35%,10,28,1,1,100%,0,0,0:05,6,23,3,4,1,1,10,26,0,1,0,1
0,1,Lerone Murphy,0,10,24,41%,11,26,0,0,---,0,0,0:00,5,16,3,5,2,3,10,24,0,0,0,0
0,2,Josh Emmett,0,2,8,25%,3,11,2,5,40%,0,0,1:50,1,7,0,0,1,1,2,6,0,1,0,1
0,2,Lerone Murphy,0,13,21,61%,26,35,0,0,---,0,0,0:06,2,7,6,9,5,5,9,17,4,4,0,0
0,3,Josh Emmett,0,5,25,20%,7,28,1,2,50%,0,0,1:01,3,19,2,4,0,2,5,22,0,2,0,1
0,3,Lerone Murphy,0,21,36,58%,33,50,0,0,---,0,0,0:00,11,24,3,4,7,8,16,31,5,5,0,0
0,4,Josh Emmett,0,13,38,34%,13,38,0,2,0%,0,0,0:28,9,34,1,1,3,3,12,37,1,1,0,0
0,4,Lerone Murphy,0,22,41,53%,26,46,0,0,---,0,0,0:00,9,22,4,7,9,12,22,41,0,0,0,0
0,5,Josh Emmett,0,11,44,25%,11,44,0,1,0%,0,0,0:15,10,41,0,2,1,1,11,42,0,2,0,0
0,5,Lerone Murphy,0,18,35,51%,21,38,0,0,---,0,0,0:00,10,21,1,5,7,9,18,35,0,0,0,0
1,1,Pat Sabatini,0,12,14,85%,22,28,2,2,100%,1,0,4:43,12,13,0,1,0,0,0,1,1,1,11,12
1,1,Joanderson Brito,0,1,1,100%,10,12,0,0,---,0,0,0:00,0,0,1,1,0,0,1,1,0,0,0,0
1,2,Pat Sabatini,0,6,8,75%,52,59,1,2,50%,0,0,4:34,4,6,2,2,0,0,1,3,0,0,5,5
1,2,Joanderson Brito,0,2,4,50%,13,24,0,0,---,0,0,0:00,2,3,0,0,0,1,2,4,0,0,0,0
1,3,Pat Sabatini,0,6,9,66%,61,71,1,1,100%,0,0,4:30,6,9,0,0,0,0,1,3,0,0,5,6
1,3,Joanderson Brito,0,0,4,0%,4,10,0,0,---,1,0,0:00,0,3,0,1,0,0,0,4,0,0,0,0
2,1,Cortavious Romious,0,5,11,45%,8,14,1,2,50%,0,1,1:11,3,9,1,1,1,1,5,11,0,0,0,0
2,1,ChangHo Lee,0,8,20,40%,61,99,1,2,50%,1,2,3:27,8,18,0,2,0,0,3,13,0,0,5,7
2,2,Cortavious Romious,0,6,13,46%,6,13,1,1,100%,0,0,0:57,4,10,0,1,2,2,6,13,0,0,0,0
2,2,ChangHo Lee,0,36,54,66%,55,80,1,2,50%,0,1,2:11,34,52,2,2,0,0,4,11,0,0,32,43
3,1,Brad Tavares,0,13,36,36%,14,37,0,0,---,0,0,0:00,10,30,2,5,1,1,13,36,0,0,0,0
3,1,Gerald Meerschaert,0,8,24,33%,8,24,0,2,0%,0,0,0:26,5,19,0,1,3,4,8,23,0,1,0,0
3,2,Brad Tavares,0,26,51,50%,26,51,0,0,---,0,0,0:01,15,38,7,9,4,4,24,48,2,3,0,0
