fight_id,fighter1,fighter2,result,bout,method,round,time,format,ref
0,Alexander Volkanovski,Diego Lopes,Alexander Volkanovski,UFC Featherweight Title Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard
1,Michael Chandler,Paddy Pimblett,Paddy Pimblett,Lightweight Bout,KO/TKO,3,3:07,5 Rnd (5-5-5-5-5),Kerry Hatley
2,Yair Rodriguez,Patricio Freire,Yair Rodriguez,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Andrew Glenn
3,Bryce Mitchell,Jean Silva,Jean Silva,Featherweight Bout,Submission,2,3:52,3 Rnd (5-5-5),Mike Beltran
4,Nikita Krylov,Dominick Reyes,Dominick Reyes,Light Heavyweight Bout,KO/TKO,1,2:24,3 Rnd (5-5-5),Marc Goddard
5,Dan Ige,Sean Woodson,Dan Ige,Featherweight Bout,KO/TKO,3,1:12,3 Rnd (5-5-5),Andrew Glenn
6,Yan Xiaonan,Virna Jandiroba,Virna Jandiroba,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran
7,Jim Miller,Chase Hooper,Chase Hooper,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kerry Hatley
8,Darren Elkins,Julian Erosa,Julian Erosa,Featherweight Bout,KO/TKO,1,4:15,3 Rnd (5-5-5),Mike Beltran
9,Sedriques Dumas,Michal Oleksiejczuk,Michal Oleksiejczuk,Middleweight Bout,KO/TKO,1,2:49,3 Rnd (5-5-5),Marc Goddard
10,Sumudaerji,Mitch Raposo,Sumudaerji,Flyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Andrew Glenn
11,Tresean Gore,Marco Tulio,Marco Tulio,Middleweight Bout,KO/TKO,2,3:16,3 Rnd (5-5-5),Marc Goddard
12,Nora Cornolle,Hailey Cowan,Nora Cornolle,Women's Bantamweight Bout,Submission,2,1:52,3 Rnd (5-5-5),Kerry Hatley
13,Josh Emmett,Lerone Murphy,Lerone Murphy,Featherweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Jason Herzog
14,Pat Sabatini,Joanderson Brito,Pat Sabatini,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson
15,Cortavious Romious,ChangHo Lee,ChangHo Lee,Bantamweight Bout,KO/TKO,2,3:48,3 Rnd (5-5-5),Chris Tognoni
16,Brad Tavares,Gerald Meerschaert,Brad Tavares,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran
17,Ode Osbourne,Luis Gurule,Ode Osbourne,Flyweight Bout,KO/TKO,2,1:54,3 Rnd (5-5-5),Jason Herzog
18,Torrez Finney,Robert Valentin,Torrez Finney,Middleweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mike Beltran
19,Diana Belbita,Dione Barbosa,Dione Barbosa,Women's Flyweight Bout,Submission,1,4:13,3 Rnd (5-5-5),Keith Peterson
20,Rhys McKee,Daniel Frunza,Rhys McKee,Welterweight Bout,TKO - Doctor's Stoppage,1,5:00,3 Rnd (5-5-5),Jason Herzog
21,Loma Lookboonmee,Istela Nunes,Loma Lookboonmee,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni
22,Victor Henry,Pedro Falcao,Victor Henry,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson
23,Martin Buday,Uran Satybaldiev,Martin Buday,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran
24,Vanessa Demopoulos,Talita Alencar,Talita Alencar,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni
25,Brandon Moreno,Steve Erceg,Brandon Moreno,Flyweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean
26,Manuel Torres,Drew Dober,Manuel Torres,Lightweight Bout,KO/TKO,1,1:45,3 Rnd (5-5-5),Mike Beltran
27,Edgar Chairez,CJ Vergara,Edgar Chairez,Flyweight Bout,Submission,1,2:30,3 Rnd (5-5-5),Marc Goddard
28,Raul Rosas Jr.,Vince Morales,Raul Rosas Jr.,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran
