fight_id,round,name,kd,sig_l,sig_a,sig_p,total_l,total_a,td_l,td_a,td_p,sub,rev,ctrl,head_l,head_a,body_l,body_a,leg_l,leg_a,distance_l,distance_a,clinch_l,clinch_a,ground_l,ground_a
0,1,Alexander Volkanovski,0,27,44,61%,31,48,1,3,33%,0,0,0:58,21,34,2,4,4,6,14,27,4,6,9,11
0,1,Diego Lopes,0,8,22,36%,11,26,0,0,---,0,0,0:03,5,16,1,2,2,4,8,22,0,0,0,0
0,2,Alexander Volkanovski,0,24,52,46%,27,55,0,2,0%,0,0,0:20,18,42,0,3,6,7,24,52,0,0,0,0
0,2,Diego Lopes,1,16,33,48%,17,34,0,0,---,0,0,0:02,15,32,1,1,0,0,15,32,0,0,1,1
0,3,Alexander Volkanovski,0,25,45,55%,25,45,0,1,0%,0,0,0:00,21,38,1,2,3,5,25,45,0,0,0,0
0,3,Diego Lopes,0,9,37,24%,9,37,0,0,---,0,0,0:00,7,33,1,3,1,1,9,37,0,0,0,0
0,4,Alexander Volkanovski,0,39,57,68%,39,57,0,3,0%,0,0,0:00,36,53,2,2,1,2,39,57,0,0,0,0
0,4,Diego Lopes,0,16,43,37%,16,43,0,0,---,0,0,0:00,13,37,2,5,1,1,14,39,2,4,0,0
0,5,Alexander Volkanovski,0,43,61,70%,43,61,0,2,0%,0,0,0:00,40,58,3,3,0,0,40,56,3,5,0,0
0,5,Diego Lopes,0,14,59,23%,18,63,0,0,---,0,0,0:00,9,53,2,2,3,4,13,55,1,4,0,0
1,1,Michael Chandler,0,5,11,45%,7,14,2,3,66%,0,0,2:10,4,10,1,1,0,0,4,7,0,0,1,4
1,1,Paddy Pimblett,0,16,40,40%,25,50,0,0,---,0,0,0:00,7,28,1,2,8,10,16,40,0,0,0,0
1,2,Michael Chandler,0,5,14,35%,11,21,2,4,50%,0,0,0:34,1,6,2,5,2,3,5,14,0,0,0,0
1,2,Paddy Pimblett,0,34,63,53%,49,83,0,0,---,0,1,2:15,26,53,1,1,7,9,19,41,4,5,11,17
1,3,Michael Chandler,0,1,3,33%,2,4,0,0,---,0,0,0:00,1,2,0,1,0,0,1,3,0,0,0,0
1,3,Paddy Pimblett,0,30,40,75%,47,64,1,2,50%,0,0,2:26,28,38,2,2,0,0,8,15,0,0,22,25
2,1,Yair Rodriguez,0,11,21,52%,26,40,0,0,---,0,0,0:00,3,10,4,5,4,6,10,20,1,1,0,0
2,1,Patricio Freire,0,4,10,40%,5,12,0,1,0%,0,0,0:35,0,5,0,1,4,4,4,10,0,0,0,0
2,2,Yair Rodriguez,0,21,45,46%,25,52,1,1,100%,0,0,0:02,8,28,6,9,7,8,20,44,1,1,0,0
2,2,Patricio Freire,0,8,26,30%,8,26,1,3,33%,0,0,0:28,5,21,1,2,2,3,8,26,0,0,0,0
2,3,Yair Rodriguez,1,38,56,67%,46,65,0,0,---,0,0,1:41,27,44,8,9,3,3,13,25,0,0,25,31
2,3,Patricio Freire,0,5,14,35%,10,22,0,0,---,1,0,0:00,3,12,1,1,1,1,5,14,0,0,0,0
3,1,Bryce Mitchell,0,22,34,64%,23,35,1,3,33%,0,0,0:53,5,11,3,9,14,14,22,33,0,1,0,0
3,1,Jean Silva,0,9,29,31%,10,30,0,0,---,2,0,0:06,2,20,6,7,1,2,8,28,1,1,0,0
3,2,Bryce Mitchell,0,14,30,46%,14,31,0,11,0%,0,0,0:50,2,14,5,9,7,7,13,28,1,2,0,0
3,2,Jean Silva,1,18,34,52%,19,35,0,0,---,1,0,0:13,9,24,7,8,2,2,15,28,2,4,1,2
4,1,Nikita Krylov,0,4,22,18%,4,22,0,0,---,0,0,0:00,3,16,1,6,0,0,4,22,0,0,0,0
4,1,Dominick Reyes,1,8,17,47%,8,17,0,0,---,0,0,0:02,5,14,1,1,2,2,6,15,0,0,2,2
5,1,Dan Ige,0,9,37,24%,9,37,0,0,---,0,0,0:01,4,25,1,6,4,6,9,37,0,0,0,0
5,1,Sean Woodson,0,26,51,50%,26,51,0,0,---,0,0,0:00,15,39,6,7,5,5,26,51,0,0,0,0
5,2,Dan Ige,0,15,41,36%,17,43,0,2,0%,0,0,0:32,9,30,5,9,1,2,15,41,0,0,0,0
5,2,Sean Woodson,0,18,49,36%,24,55,0,0,---,0,0,0:10,15,45,0,1,3,3,18,49,0,0,0,0
5,3,Dan Ige,0,20,29,68%,27,36,0,0,---,0,0,0:00,15,23,5,5,0,1,17,26,3,3,0,0
5,3,Sean Woodson,0,7,15,46%,7,15,0,1,0%,0,0,0:00,6,14,1,1,0,0,7,15,0,0,0,0
6,1,Yan Xiaonan,0,6,17,35%,31,50,0,0,---,0,0,0:00,4,11,2,4,0,2,5,16,0,0,1,1
6,1,Virna Jandiroba,0,4,9,44%,18,31,1,5,20%,0,0,3:03,4,9,0,0,0,0,3,7,0,1,1,1
6,2,Yan Xiaonan,0,4,6,66%,14,20,0,0,---,0,1,0:27,4,6,0,0,0,0,0,1,0,0,4,5
6,2,Virna Jandiroba,0,0,1,0%,40,51,1,1,100%,2,1,4:14,0,1,0,0,0,0,0,1,0,0,0,0
6,3,Yan Xiaonan,0,7,21,33%,19,33,0,0,---,0,0,0:00,5,17,1,3,1,1,7,21,0,0,0,0
6,3,Virna Jandiroba,0,7,10,70%,38,49,1,5,20%,1,0,2:42,7,10,0,0,0,0,5,8,0,0,2,2
7,1,Jim Miller,0,10,16,62%,14,21,1,1,100%,2,0,1:39,10,15,0,0,0,1,4,10,1,1,5,5
7,1,Chase Hooper,0,10,21,47%,24,41,1,3,33%,0,0,1:57,4,13,5,7,1,1,9,20,1,1,0,0
7,2,Jim Miller,0,1,12,8%,2,13,0,0,---,0,0,0:00,0,9,0,1,1,2,1,12,0,0,0,0
7,2,Chase Hooper,0,5,11,45%,10,19,5,8,62%,0,0,4:04,4,10,1,1,0,0,4,10,0,0,1,1
7,3,Jim Miller,0,2,7,28%,6,11,0,0,---,0,0,0:00,1,6,1,1,0,0,2,6,0,1,0,0
7,3,Chase Hooper,0,6,12,50%,25,34,2,3,66%,1,0,4:07,5,11,1,1,0,0,5,11,0,0,1,1
8,1,Darren Elkins,0,13,31,41%,18,45,1,7,14%,0,0,0:48,11,28,1,2,1,1,12,29,0,0,1,2
8,1,Julian Erosa,0,54,73,73%,69,92,0,0,---,0,0,0:48,52,71,0,0,2,2,22,39,11,12,21,22
9,1,Sedriques Dumas,0,3,26,11%,3,26,0,0,---,0,0,0:00,0,18,2,5,1,3,3,26,0,0,0,0
9,1,Michal Oleksiejczuk,1,34,57,59%,34,59,0,0,---,0,0,0:18,27,49,7,8,0,0,13,27,0,0,21,30
10,1,Sumudaerji,0,11,30,36%,17,37,0,0,---,0,0,0:00,5,18,1,3,5,9,11,30,0,0,0,0
10,1,Mitch Raposo,0,5,12,41%,8,15,2,7,28%,0,0,1:05,5,12,0,0,0,0,4,11,1,1,0,0
10,2,Sumudaerji,0,14,39,35%,17,44,0,0,---,0,0,0:00,6,27,1,2,7,10,14,38,0,1,0,0
10,2,Mitch Raposo,0,2,5,40%,2,5,1,6,16%,0,0,1:16,1,4,0,0,1,1,2,5,0,0,0,0
10,3,Sumudaerji,0,20,45,44%,44,69,0,0,---,0,0,0:00,14,39,3,3,3,3,14,36,6,9,0,0
10,3,Mitch Raposo,0,2,9,22%,3,10,3,6,50%,0,0,1:57,2,9,0,0,0,0,2,9,0,0,0,0
11,1,Tresean Gore,0,13,39,33%,13,39,0,0,---,0,0,0:06,10,33,1,2,2,4,13,39,0,0,0,0
11,1,Marco Tulio,1,77,110,70%,84,117,0,0,---,0,0,0:16,45,76,25,27,7,7,72,104,4,4,1,2
11,2,Tresean Gore,0,4,21,19%,4,21,0,0,---,0,0,0:00,0,14,2,3,2,4,4,21,0,0,0,0
11,2,Marco Tulio,1,50,65,76%,56,78,0,0,---,0,0,0:27,29,44,15,15,6,6,46,57,0,0,4,8
12,1,Nora Cornolle,0,3,5,60%,18,23,0,0,---,0,0,0:14,1,3,0,0,2,2,3,5,0,0,0,0
12,1,Hailey Cowan,0,2,3,66%,17,23,1,1,100%,0,0,4:24,1,2,1,1,0,0,1,2,0,0,1,1
12,2,Nora Cornolle,0,5,7,71%,6,9,0,0,---,1,0,1:19,4,6,1,1,0,0,2,4,3,3,0,0
12,2,Hailey Cowan,0,1,4,25%,2,5,0,1,0%,0,0,0:00,1,4,0,0,0,0,1,4,0,0,0,0
13,1,Josh Emmett,0,10,28,35%,10,28,1,1,100%,0,0,0:05,6,23,3,4,1,1,10,26,0,1,0,1
13,1,Lerone Murphy,0,10,24,41%,11,26,0,0,---,0,0,0:00,5,16,3,5,2,3,10,24,0,0,0,0
13,2,Josh Emmett,0,2,8,25%,3,11,2,5,40%,0,0,1:50,1,7,0,0,1,1,2,6,0,1,0,1
13,2,Lerone Murphy,0,13,21,61%,26,35,0,0,---,0,0,0:06,2,7,6,9,5,5,9,17,4,4,0,0
13,3,Josh Emmett,0,5,25,20%,7,28,1,2,50%,0,0,1:01,3,19,2,4,0,2,5,22,0,2,0,1
13,3,Lerone Murphy,0,21,36,58%,33,50,0,0,---,0,0,0:00,11,24,3,4,7,8,16,31,5,5,0,0
13,4,Josh Emmett,0,13,38,34%,13,38,0,2,0%,0,0,0:28,9,34,1,1,3,3,12,37,1,1,0,0
13,4,Lerone Murphy,0,22,41,53%,26,46,0,0,---,0,0,0:00,9,22,4,7,9,12,22,41,0,0,0,0
