fight_id,round,name,kd,sig_l,sig_a,sig_p,total_l,total_a,td_l,td_a,td_p,sub,rev,ctrl,head_l,head_a,body_l,body_a,leg_l,leg_a,distance_l,distance_a,clinch_l,clinch_a,ground_l,ground_a
d7507e2741fd4d05,1,Max Holloway,1,26,64,40%,26,64,0,0,---,0,0,0:08,9,39,11,16,6,9,23,57,0,0,3,7
d7507e2741fd4d05,1,Dustin Poirier,0,16,32,50%,16,32,0,0,---,0,0,0:00,12,28,1,1,3,3,16,32,0,0,0,0
d7507e2741fd4d05,2,Max Holloway,0,44,67,65%,47,70,0,0,---,0,0,1:24,31,52,11,12,2,3,31,51,0,0,13,16
d7507e2741fd4d05,2,Dustin Poirier,1,25,43,58%,25,43,0,1,0%,1,0,0:12,21,36,3,5,1,2,19,34,2,3,4,6
d7507e2741fd4d05,3,Max Holloway,0,38,61,62%,38,61,0,0,---,0,0,0:00,18,36,9,12,11,13,38,61,0,0,0,0
d7507e2741fd4d05,3,Dustin Poirier,0,21,49,42%,21,49,0,0,---,0,0,0:00,15,41,2,4,4,4,21,49,0,0,0,0
d7507e2741fd4d05,4,Max Holloway,0,44,84,52%,44,84,0,0,---,0,0,0:00,23,57,15,18,6,9,44,84,0,0,0,0
d7507e2741fd4d05,4,Dustin Poirier,0,22,68,32%,22,68,0,0,---,0,0,0:00,21,67,0,0,1,1,22,67,0,1,0,0
d7507e2741fd4d05,5,Max Holloway,0,46,99,46%,46,99,0,0,---,0,0,0:00,22,69,18,22,6,8,46,98,0,1,0,0
d7507e2741fd4d05,5,Dustin Poirier,0,25,63,39%,25,63,0,0,---,0,0,0:00,25,63,0,0,0,0,24,61,1,2,0,0
23c963be9de38205,1,Paulo Costa,1,34,54,62%,37,57,0,0,---,0,0,0:13,13,33,7,7,14,14,25,39,0,0,9,15
23c963be9de38205,1,Roman Kopylov,0,11,27,40%,11,27,0,0,---,0,0,0:00,5,18,3,6,3,3,11,27,0,0,0,0
23c963be9de38205,2,Paulo Costa,0,32,57,56%,32,57,0,0,---,0,0,0:00,10,31,18,22,4,4,31,56,1,1,0,0
23c963be9de38205,2,Roman Kopylov,0,16,32,50%,16,32,0,0,---,0,0,0:00,9,22,5,8,2,2,16,32,0,0,0,0
23c963be9de38205,3,Paulo Costa,0,33,48,68%,33,48,0,2,0%,0,0,0:00,11,25,16,17,6,6,31,46,2,2,0,0
23c963be9de38205,3,Roman Kopylov,0,21,45,46%,21,45,0,0,---,0,0,0:00,15,39,6,6,0,0,21,45,0,0,0,0
5dde61734080ac4a,1,Kevin Holland,0,40,83,48%,40,83,0,1,0%,0,0,0:12,20,50,6,12,14,21,39,81,1,2,0,0
5dde61734080ac4a,1,Daniel Rodriguez,0,29,60,48%,32,63,0,0,---,0,0,0:00,12,30,8,19,9,11,28,59,1,1,0,0
5dde61734080ac4a,2,Kevin Holland,0,12,28,42%,34,51,1,3,33%,0,0,1:05,8,21,3,4,1,3,7,21,4,6,1,1
5dde61734080ac4a,2,Daniel Rodriguez,2,31,55,56%,44,73,0,0,---,0,0,1:40,27,51,1,1,3,3,12,22,5,6,14,27
5dde61734080ac4a,3,Kevin Holland,1,30,62,48%,37,73,0,0,---,0,0,0:50,25,55,4,6,1,1,14,35,12,19,4,8
5dde61734080ac4a,3,Daniel Rodriguez,0,17,34,50%,35,53,0,1,0%,0,0,1:54,10,25,4,6,3,3,14,26,0,0,3,8
acc961fd5cf5c62e,1,Dan Ige,0,6,28,21%,10,32,0,0,---,0,0,0:00,1,21,2,4,3,3,6,27,0,1,0,0
acc961fd5cf5c62e,1,Patricio Freire,0,7,13,53%,7,13,2,3,66%,0,0,1:03,2,8,2,2,3,3,7,13,0,0,0,0
acc961fd5cf5c62e,2,Dan Ige,0,19,51,37%,19,51,0,0,---,0,0,0:00,10,38,6,10,3,3,17,48,2,3,0,0
acc961fd5cf5c62e,2,Patricio Freire,0,37,58,63%,47,68,1,1,100%,0,0,0:55,30,50,6,6,1,2,25,45,8,9,4,4
acc961fd5cf5c62e,3,Dan Ige,0,22,45,48%,30,62,0,0,---,0,0,0:08,13,34,7,9,2,2,15,34,1,1,6,10
acc961fd5cf5c62e,3,Patricio Freire,0,11,26,42%,17,33,2,5,40%,0,0,0:46,10,24,1,2,0,0,10,24,1,2,0,0
